bloque,hachi_total,id,licencia,monto_pagado_hachi,monto_pagado_wld,sushi_total,tipo_token,tx_hash,wallet
31465462,,22,Básica,500.0,,1507.9701065657525,SUSHI,1b555a9ca48392dd5d619fdfdfe9b12c9c0cccf7365f73afa780bd857f84d2d8,0x613cf0721895FC920925cf6a2cD87acBC26784F0
31467382,,23,Básica,500.0,,1523.8269606696485,SUSHI,480b260ab8d89d77fbd5e8193c26f2244dba4e538fad736a263f123a30d0cd9e,0x4EF08d35493B930f6FdF9C1dC4032848989adE0F
31475156,,24,Básica,500.0,,1606.662638854864,SUSHI,68f2f6bbcb3989250c7a16bfaf64b3a2244c64dd0b7f7db19fd26c1aa7c4723b,0xC481197F65A09fC584901d764328BAEed960099a
31475163,,25,Básica,500.0,,1606.662638854864,SUSHI,e35ddb39a31a3820d2a190bb714fc87cfac123679e3736c5514473d231f53715,0xC481197F65A09fC584901d764328BAEed960099a
31475577,162133.78566770855,11,Elite,,10.0,,WLD,2cdda36ed08929aea39b06b564ea59878c3a74a9c1e758c2f30f37a2f82330b3,0xC481197F65A09fC584901d764328BAEed960099a
31475619,,26,Básica,500.0,,1631.5590796560725,SUSHI,74a13929e99a75387c0e96a83aae074d0db1201033fe271a769c7b8da46a77fe,0xC481197F65A09fC584901d764328BAEed960099a
31475625,,27,Básica,500.0,,1631.5590796560725,SUSHI,ebb052e6d07e514cb64a30751121aa84fb88f5e9d4befa52133147cf5fed0d01,0xC481197F65A09fC584901d764328BAEed960099a
31475632,,28,Básica,500.0,,1631.5590796560725,SUSHI,dbdc4ccc4c7fdb785e686bc40b3cd1d83acaa9c227d0a89ca5593ac61d4ec688,0xC481197F65A09fC584901d764328BAEed960099a
31493386,,29,Básica,500.0,,1609.858282626393,SUSHI,ee0de68088e5f5fb1386db03fcb7acc60e51a1fc46ac592e254d5977bc0c9750,0x4EF08d35493B930f6FdF9C1dC4032848989adE0F
31493584,,30,Básica,500.0,,1615.9222020160414,SUSHI,13b7e48af0abdd06c0b90e5d75b6f62fba3a86b12a76f4023883bc14aef40f94,0x4EF08d35493B930f6FdF9C1dC4032848989adE0F
31493669,,31,Básica,500.0,,1615.6525434205978,SUSHI,ab860634dc7be94bb22a39ef1ffc3ff1f4da971c6275f60fcd52aa62f8d79ba2,0x4EF08d35493B930f6FdF9C1dC4032848989adE0F
31508007,,32,Básica,500.0,,1544.6733917305933,SUSHI,afd3fb19f54568108e2c151e378cdac7cc509a0304bcb6377e062a976c131bc4,0xaDfcB85A9FC4B8187F11ff54672617DA3f244E9A
31508012,,33,Básica,500.0,,1544.6733917305933,SUSHI,3befcc338e80fd686ab27b436e313dcb32bdca64f57408a863406f3c172b8ac9,0xaDfcB85A9FC4B8187F11ff54672617DA3f244E9A
